cOUnty,statE,statE_cOdE,pOpUlatIOn
Autauga County,Alabama,AL,55200
Baldwin County,Alabama,AL,208107
Barbour County,Alabama,AL,25782
Bibb County,Alabama,AL,22527
Blount County,Alabama,AL,57645
Bullock County,Alabama,AL,10352
Butler County,Alabama,AL,20025
Calhoun County,Alabama,AL,115098
Chambers County,Alabama,AL,33826
Cherokee County,Alabama,AL,25853
Chilton County,Alabama,AL,43930
Choctaw County,Alabama,AL,13075
Clarke County,Alabama,AL,24387
Clay County,Alabama,AL,13378
Cleburne County,Alabama,AL,14938
Coffee County,Alabama,AL,51288
Colbert County,Alabama,AL,54495
Conecuh County,Alabama,AL,12514
Coosa County,Alabama,AL,10855
Covington County,Alabama,AL,37351
Crenshaw County,Alabama,AL,13865
Cullman County,Alabama,AL,82313
Dale County,Alabama,AL,49255
Dallas County,Alabama,AL,40029
DeKalb County,Alabama,AL,71200
Elmore County,Alabama,AL,81212
Escambia County,Alabama,AL,37328
Etowah County,Alabama,AL,102939
Fayette County,Alabama,AL,16585
Franklin County,Alabama,AL,31542
Geneva County,Alabama,AL,26491
Greene County,Alabama,AL,8426
Hale County,Alabama,AL,14887
Henry County,Alabama,AL,17124
Houston County,Alabama,AL,104352
Jackson County,Alabama,AL,52094
Jefferson County,Alabama,AL,659892
Lamar County,Alabama,AL,13933
Lauderdale County,Alabama,AL,92585
Lawrence County,Alabama,AL,33171
Lee County,Alabama,AL,159287
Limestone County,Alabama,AL,93052
Lowndes County,Alabama,AL,10236
Macon County,Alabama,AL,19054
Madison County,Alabama,AL,357560
Marengo County,Alabama,AL,19538
Marion County,Alabama,AL,29965
Marshall County,Alabama,AL,95145
Mobile County,Alabama,AL,414659
Monroe County,Alabama,AL,21512
Montgomery County,Alabama,AL,226941
Morgan County,Alabama,AL,119122
Perry County,Alabama,AL,9486
Pickens County,Alabama,AL,20298
Pike County,Alabama,AL,33403
Randolph County,Alabama,AL,22574
Russell County,Alabama,AL,58213
St. Clair County,Alabama,AL,87306
Shelby County,Alabama,AL,211261
Sumter County,Alabama,AL,12985
Talladega County,Alabama,AL,80565
Tallapoosa County,Alabama,AL,40636
Tuscaloosa County,Alabama,AL,206213
Walker County,Alabama,AL,64493
Washington County,Alabama,AL,16643
Wilcox County,Alabama,AL,10809
Winston County,Alabama,AL,23875
Aleutians East Borough,Alaska,AK,3425
Aleutians West Census Area,Alaska,AK,5750
Anchorage Municipality,Alaska,AK,296112
Bethel Census Area,Alaska,AK,18040
Bristol Bay Borough,Alaska,AK,890
Denali Borough,Alaska,AK,2232
Dillingham Census Area,Alaska,AK,4975
Fairbanks North Star Borough,Alaska,AK,99653
Haines Borough,Alaska,AK,2518
Hoonah-Angoon Census Area,Alaska,AK,2132
Juneau City and Borough,Alaska,AK,32330
Kenai Peninsula Borough,Alaska,AK,58220
Ketchikan Gateway Borough,Alaska,AK,13804
Kodiak Island Borough,Alaska,AK,13649
Kusilvak Census Area,Alaska,AK,8198
Lake and Peninsula Borough,Alaska,AK,1375
Matanuska-Susitna Borough,Alaska,AK,103464
Nome Census Area,Alaska,AK,9925
North Slope Borough,Alaska,AK,9797
Northwest Arctic Borough,Alaska,AK,7734
Petersburg Borough,Alaska,AK,3255
Prince of Wales-Hyder Census Area,Alaska,AK,6474
Sitka City and Borough,Alaska,AK,8738
Skagway Municipality,Alaska,AK,1061
Southeast Fairbanks Census Area,Alaska,AK,6876
Valdez-Cordova Census Area,Alaska,AK,9301
Wrangell City and Borough,Alaska,AK,2484
Yakutat City and Borough,Alaska,AK,689
Yukon-Koyukuk Census Area,Alaska,AK,5415
Apache County,Arizona,AZ,71522
Cochise County,Arizona,AZ,126279
Coconino County,Arizona,AZ,140217
Gila County,Arizona,AZ,53400
Graham County,Arizona,AZ,37879
Greenlee County,Arizona,AZ,9504
La Paz County,Arizona,AZ,20701
Maricopa County,Arizona,AZ,4253913
Mohave County,Arizona,AZ,206064
